FileName,L1,L2,L3,L4,L5,L6,D1,D2,D3,D4,D5,D6,DA1,DA2,DA3,DA4,DA5,DA6,zfs,E/D
612,OC(O)c1ccc(Br)cc1,OC(O)c1ccc(Br)cc1,NC(O)c1cccnc1,NC(O)c1cccnc1,O,O,1,1,1,1,1,1,O,O,N,O,O,N,116.820793,0.263319
613,OC(O)CS(O)(O)c1ccc(N(O)O)cc1,c1cnc2c(c1)ccc1cccnc12,O,O,O,X,1,2,1,1,1,0,N,N,O,O,O,O,-20.467682,0.035326
616,Cc1cccc(C(O)O)n1,Cc1cnc[nH]1,Cc1cccc(C(O)O)n1,Cc1cnc[nH]1,X,X,2,1,2,1,0,0,O,N,N,O,N,N,84.799931,0.173231
617,OC(O)c1ccc(-c2cncnc2)cc1,O,O,OC(O)c1ccc(-c2cncnc2)cc1,O,O,1,1,1,1,1,1,O,O,N,O,O,N,-5.871713,0.217851
618,P(c1ccccc1)(c1ccccc1)(c1ccccc1),C1=CC2=C(c3ccccc3)C3=NC(=C(c4ccccc4)C4=NC(=C(c5ccccc5)C5=NC(=C(c6ccccc6)C1=N2)C=C5)C=C4)C=C3,N(O)O,X,X,X,1,4,1,0,0,0,P,N,N,N,N,N,51.4409169,0.127383815
619,NC(O)c1cccnc1,NC(O)c1cccnc1,Oc1ccccc1C(O)O,Oc1ccccc1C(O)O,O,O,1,1,1,1,1,1,N,N,O,O,O,O,-95.905634,0.330975
621,O[PH](O)(Nc1ccccn1)Nc1ccccn1,O[PH](O)(Nc1ccccn1)Nc1ccccn1,X,X,X,X,3,3,0,0,0,0,N,N,O,N,N,O,83.869837,0.323988
622,CC(C)n1c(-c2cccc(C(C)(C)O)n2)nc2ccccc21,CC(C)n1c(-c2cccc(C(C)(C)O)n2)nc2ccccc21,X,X,X,X,3,3,0,0,0,0,N,O,N,O,N,N,61.400907,0.142571
623,CC(O)c1cccc(-c2nc3ccccc3n2C(C)C)n1,CC(O)c1cccc(-c2nc3ccccc3n2C(C)C)n1,X,X,X,X,3,3,0,0,0,0,N,N,O,N,O,N,63.947224,0.118834
624,O,Oc1ccccn1,Oc1ccccn1,O,Oc1ccccn1,Oc1ccccn1,1,1,1,1,1,1,O,O,O,O,O,O,74.718784,0.253655
625,c1ccc2c(c1)nc(-c1cscn1)n2CCCn1c(-c2cscn2)nc2ccccc21,c1ccc2c(c1)nc(-c1cscn1)n2CCCn1c(-c2cscn2)nc2ccccc21,OC(O)c1cccc(N(O)O)c1C(O)O,X,X,X,2,2,2,0,0,0,O,O,N,N,N,N,80.53908,0.139738
626,CCCc1nc(C(O)O)c(C(O)O)[nH]1,O,CCCc1nc(C(O)O)c(C(O)O)[nH]1,O,X,X,2,1,2,1,0,0,N,O,O,N,O,O,83.96625,0.2133
627,c1ccc(Nc2ccccn2)nc1,NCNCN,c1ccc(Nc2ccccn2)nc1,NCNCN,X,X,2,1,2,1,0,0,N,N,N,N,N,N,105.619171,0.29063
628,CC(C)NC(C)c1cccc(-c2cccc(C(C)NC(C)C)n2)n1,O[SH](C(F)(F)(F))(O)O,O[SH](C(F)(F)(F))(O)O,X,X,X,4,1,1,0,0,0,N,N,O,N,N,O,-111.79958,0.176006
629,c1ccc(-c2ccccn2)nc1,OC(O)c1ccco1,OC(O)c1ccco1,X,X,X,2,2,2,0,0,0,N,N,O,O,O,O,74.095367,0.296086
630,CC(C)(C)c1cc(O)c(O)c(C(C)(C)C)c1,NCc1ccncc1,CC(C)(C)c1cc(O)c(O)c(C(C)(C)C)c1,NCc1ccncc1,X,X,2,1,2,1,0,0,N,O,O,N,O,O,-22.307803,0.112573
631,CC(C)(C)c1cc(O)c(O)c(C(C)(C)C)c1,ON(O)c1ccncc1,CC(C)(C)c1cc(O)c(O)c(C(C)(C)C)c1,ON(O)c1ccncc1,X,X,2,1,2,1,0,0,N,O,O,N,O,O,5.976149168,0.101190902
632,OC(O)CC(O)O,c1ccc2[nH]cnc2c1,c1ccc2[nH]cnc2c1,c1ccc2[nH]cnc2c1,c1ccc2[nH]cnc2c1,X,2,1,1,1,1,0,O,O,N,N,N,N,119.070262,0.038309
633,Oc1ccc(N(O)O)c2cccnc12,c1ccncc1,Oc1ccc(N(O)O)c2cccnc12,c1ccncc1,X,X,2,1,2,1,0,0,N,O,N,N,O,N,60.819294,0.128535
634,P(C)(C)(C),P(C)(C)(C),Cc1ccc(NCc2ccccc2F)cc1,C,F,X,1,1,1,2,1,0,P,P,F,N,C,C,51.066514,0.029556
635,Fc1ccccc1CNc1ccccc1,C,F,P(C)(C)(C),P(C)(C)(C),X,2,1,1,1,1,0,C,C,F,N,P,P,65.272429,0.017833
636,c1ccc(CN(Cc2ccccn2)Cc2nccc3ccccc23)nc1,Cl,Cl,X,X,X,4,1,1,0,0,0,N,Cl,Cl,N,N,N,128.996278,0.066719
637,CC(C)COc1cc(Cl)c(Cl)c(CNC2CCCCC2NCc2c(O)c(OCC(C)C)cc(Cl)c2Cl)c1O,O,CO,X,X,X,4,1,1,0,0,0,O,O,O,O,N,N,13.280236,0.213854
